patent,country,url,date_submitted,date_issued,title,wikidata,inventor,assignee,cpc,collections
US505127,US,https://patents.google.com/patent/US505127A/en,1893-05-18,1893-09-19,Mirror for Use in Photography,http://www.wikidata.org/entity/Q73421460,Henry P. Ranger,,B60R1/081; G02B5/08,WestheimerF7
US523323,US,https://patents.google.com/patent/US523323A/en,1894-06-11,1894-07-24,Photography By Artificial Light,http://www.wikidata.org/entity/Q73429104,Barnett McFee Clinedinst,,G03B15/02,WestheimerF7
US541006,US,https://patents.google.com/patent/US541006A/en,1895-03-08,1895-06-11,Vignetting Attachment for Photographic Cameras,http://www.wikidata.org/entity/Q73421465,Roselle S. Peck,,G03B17/12,WestheimerF7
US563302,US,https://patents.google.com/patent/US563302A/en,1895-05-13,1896-07-07,Scenic Theater Apparatus for Producing Moon Effects,http://www.wikidata.org/entity/Q73421471,August J. Oehring; Albert L. Tucker,Western Electric Comp,A63J5/021,WestheimerF7
US563306,US,https://patents.google.com/patent/US563306A/en,1895-03-13,1896-07-07,Scenic Theater Stage,http://www.wikidata.org/entity/Q73421956,William R. Patterson,Western Electric Comp,A63J5/021,WestheimerF7
US563334,US,https://patents.google.com/patent/US563334A/en,1893-03-13,1896-07-07,Apparatus for Producing Scenic Effects,http://www.wikidata.org/entity/Q73585398,Albert R. Tucker,Western Electric Comp,A63J5/021,WestheimerF7
US570255,US,https://patents.google.com/patent/US570255A/en,1896-01-10,1896-10-27,Apparatus for Producing Tableaux Vivants,http://www.wikidata.org/entity/Q73421969,Marion H. Kerner,,G09F11/23,WestheimerF7
US579882,US,https://patents.google.com/patent/US579882A/en,1895-09-06,1897-03-30,Cinematographic Camera,http://www.wikidata.org/entity/Q73429138,Auguste Lumière; Louis Lumière,,G03B1/22,WestheimerF7
US589168,US,https://patents.google.com/patent/US589168A/en,1891-08-24,1897-08-31,Kinematographic Camera,http://www.wikidata.org/entity/Q73429142,Thomas Alva Edison,,G03B1/18,
US595541,US,https://patents.google.com/patent/US595541A/en,1897-03-19,1897-12-14,Advertising Apparatus,http://www.wikidata.org/entity/Q73585400,James H. Hollen,William H. Plaisted,G03B21/00,WestheimerF7
USRE11650E,US,https://patents.google.com/patent/USRE11650E/en,1897-12-01,1898-02-15,Chance,http://www.wikidata.org/entity/Q73421979,Frank S. Chance,,,WestheimerF13
US600515,US,https://patents.google.com/patent/US600515A/en,1896-12-10,1898-03-15,Photographic Camera,http://www.wikidata.org/entity/Q73421991,Joseph Collier,John H. Morcom; James P. Evans,G03B19/023,WestheimerF7
US603936,US,https://patents.google.com/patent/US603936A/en,1897-10-30,1898-05-10,Photographic Opaque Negative and Process of Printing Therefrom,http://www.wikidata.org/entity/Q73422001,Nels Bouvang,,G03B17/17,WestheimerF7
US606594,US,https://patents.google.com/patent/US606594A/en,1897-07-13,1898-06-28,Photographic Copying Camera,http://www.wikidata.org/entity/Q73422003,Herman Stender,Henry P. Ware,G03B27/73,WestheimerF7
